tensor(1.3454, grad_fn=<MeanBackward0>)
tensor(1.3853, grad_fn=<MeanBackward0>)
tensor(1.3085, grad_fn=<MeanBackward0>)
tensor(1.3921, grad_fn=<MeanBackward0>)
tensor(1.3993, grad_fn=<MeanBackward0>)
tensor(1.4230, grad_fn=<MeanBackward0>)
tensor(1.4107, grad_fn=<MeanBackward0>)
tensor(1.4567, grad_fn=<MeanBackward0>)
tensor(1.4548, grad_fn=<MeanBackward0>)
tensor(1.4759, grad_fn=<MeanBackward0>)
tensor(1.5082, grad_fn=<MeanBackward0>)
tensor(1.5377, grad_fn=<MeanBackward0>)
tensor(1.5340, grad_fn=<MeanBackward0>)
tensor(1.5740, grad_fn=<MeanBackward0>)
tensor(1.5990, grad_fn=<MeanBackward0>)
tensor(1.5219, grad_fn=<MeanBackward0>)
tensor(1.5412, grad_fn=<MeanBackward0>)
tensor(1.6024, grad_fn=<MeanBackward0>)
