tensor(-441.9204, grad_fn=<SumBackward0>)
tensor(-573.9865, grad_fn=<SumBackward0>)
tensor(-611.7423, grad_fn=<SumBackward0>)
tensor(-628.5706, grad_fn=<SumBackward0>)
tensor(-633.6302, grad_fn=<SumBackward0>)
tensor(-636.7175, grad_fn=<SumBackward0>)
tensor(-639.7284, grad_fn=<SumBackward0>)
tensor(-649.0240, grad_fn=<SumBackward0>)
tensor(-648.1001, grad_fn=<SumBackward0>)
tensor(-648.5448, grad_fn=<SumBackward0>)
tensor(-654.8051, grad_fn=<SumBackward0>)
tensor(-656.2379, grad_fn=<SumBackward0>)
tensor(-659.0671, grad_fn=<SumBackward0>)
tensor(-663.9846, grad_fn=<SumBackward0>)
