tensor(1.4642, grad_fn=<MeanBackward0>)
tensor(1.4652, grad_fn=<MeanBackward0>)
tensor(1.5628, grad_fn=<MeanBackward0>)
tensor(1.5544, grad_fn=<MeanBackward0>)
tensor(1.6559, grad_fn=<MeanBackward0>)
tensor(1.7069, grad_fn=<MeanBackward0>)
tensor(1.6945, grad_fn=<MeanBackward0>)
tensor(1.6590, grad_fn=<MeanBackward0>)
tensor(1.7750, grad_fn=<MeanBackward0>)
tensor(1.8329, grad_fn=<MeanBackward0>)
tensor(1.7203, grad_fn=<MeanBackward0>)
tensor(1.8109, grad_fn=<MeanBackward0>)
tensor(1.7759, grad_fn=<MeanBackward0>)
tensor(1.8281, grad_fn=<MeanBackward0>)
tensor(1.8647, grad_fn=<MeanBackward0>)
tensor(1.8983, grad_fn=<MeanBackward0>)
