tensor(-218.3169, grad_fn=<SumBackward0>)
tensor(-247.7678, grad_fn=<SumBackward0>)
tensor(-327.7011, grad_fn=<SumBackward0>)
tensor(-334.6225, grad_fn=<SumBackward0>)
tensor(-364.7598, grad_fn=<SumBackward0>)
tensor(-391.8405, grad_fn=<SumBackward0>)
tensor(-405.5198, grad_fn=<SumBackward0>)
tensor(-431.2920, grad_fn=<SumBackward0>)
tensor(-448.7175, grad_fn=<SumBackward0>)
tensor(-456.7296, grad_fn=<SumBackward0>)
tensor(-467.8050, grad_fn=<SumBackward0>)
tensor(-475.6506, grad_fn=<SumBackward0>)
tensor(-487.8725, grad_fn=<SumBackward0>)
tensor(-491.9909, grad_fn=<SumBackward0>)
tensor(-505.5034, grad_fn=<SumBackward0>)
tensor(-513.0227, grad_fn=<SumBackward0>)
