tensor(1.2765, grad_fn=<MeanBackward0>)
tensor(1.3766, grad_fn=<MeanBackward0>)
tensor(1.3777, grad_fn=<MeanBackward0>)
tensor(1.4438, grad_fn=<MeanBackward0>)
tensor(1.6315, grad_fn=<MeanBackward0>)
tensor(1.5790, grad_fn=<MeanBackward0>)
tensor(1.5294, grad_fn=<MeanBackward0>)
tensor(1.6296, grad_fn=<MeanBackward0>)
tensor(1.6756, grad_fn=<MeanBackward0>)
tensor(1.6319, grad_fn=<MeanBackward0>)
tensor(1.6928, grad_fn=<MeanBackward0>)
tensor(1.6667, grad_fn=<MeanBackward0>)
tensor(1.6852, grad_fn=<MeanBackward0>)
tensor(1.7139, grad_fn=<MeanBackward0>)
