tensor(-284.0586, grad_fn=<SumBackward0>)
tensor(-332.6067, grad_fn=<SumBackward0>)
tensor(-381.8257, grad_fn=<SumBackward0>)
tensor(-430.5747, grad_fn=<SumBackward0>)
tensor(-447.3054, grad_fn=<SumBackward0>)
tensor(-464.7805, grad_fn=<SumBackward0>)
tensor(-488.1732, grad_fn=<SumBackward0>)
tensor(-497.3501, grad_fn=<SumBackward0>)
tensor(-509.3179, grad_fn=<SumBackward0>)
tensor(-525.3701, grad_fn=<SumBackward0>)
tensor(-532.9231, grad_fn=<SumBackward0>)
tensor(-549.2313, grad_fn=<SumBackward0>)
tensor(-562.9722, grad_fn=<SumBackward0>)
tensor(-573.4733, grad_fn=<SumBackward0>)
